,C-31,1,ea.,,Boneless Dark Meat Incline Conveyor,,thigh meat,,,,"1/4"" SS","12""","24"" / 150""","6""",62,"10'-6""(h)",41 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",75.6,Y,"5.2""","5.2""",EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"17'-9""",,,,,scoop,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-32,1,ea.,,OH Boneless Dark Meat Transfer Conveyor,,thigh meat,,,,"1/4"" SS","12""","126""","4""",0,"7'-7""",20 ft,S800 OHFT,Acetal,White,N/A,N/A,N/A,75.6,Y,"5.2""","5.2""",EZ Clean,32:1,Sterling ,Sterling,Pneumatic,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[31.539],K343,1HP,Diverter,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-33,1,ea.,,Bone Conveyor,,bone,,,,"1/4"" SS","12""","18"" / 66""","6""",50,"21'-9"" (h)",53 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",60,Y,5.2,5.2,EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"23'-10""",,,,,impact,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-34,1,ea.,,Bone Reversing Conveyor,,,,,,"1/4"" SS","12""","48""","6""",0,"6'-0""",17 ft,S1600 OHFT,Acetal,White,N/A,N/A,N/A,59.5,Y,6.4,6.4,EZ Clean,50:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[49.347],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-35,1,ea.,,Boneless Breast Transfer Conveyor,,breast,,,,"1/4"" SS","12""","102"" / 144""","6""",45,"9'-0"" (h)",26 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"[10'-6""]",,,,,impact,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-36,1,ea.,,Boneless Breast Radius Conveyor,,breast,,,,"1/4"" SS","12""","45""","4""",0,"9'-10"" (h)",60 ft,S2400 RFGHD-HDE,Acetal,White,N/A,N/A,N/A,60,Y,"5,1""","5.1""",Molded ,40:1,Sterling ,Sterling,,,,,,
,DELETED,,,,,,,,,,,,,,,"27'-4""",,High Deck,,,,,,,,,,Acetal,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-37,1,ea.,,Boneless Breast Incline Conveyor,,breast,,,,"1/4"" SS","12""","24"" / 102""","6""",60,"19'-4"" (h)",51 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",75.6,Y,"5.2""","5.2""",EZ Clean,32:1,Sterling ,Sterling,Center Drive,,,,,
,,,,,,,,,,,,,,,,"[23'-0""]",,,,,Scoop,,,,,,,,[31.539],K343,1HP,on nose-over,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-38,1,ea.,,Boneless Breast Incline Conveyor,,breast,,,,"1/4"" SS","12""","24"" / 102""","6""",60,"18'-1"" (h)",49 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",75.6,Y,"5.2""","5.2""",EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"[21'-7""]",,,,,Scoop,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-39,1,ea.,,Boneless Breast Grading Conveyor,,breast,,,,"1/4"" SS","18""","42""","2""",0,"11'-0""",27 ft,S800 PFFT,Acetal,White,N/A,N/A,N/A,60,Y,5.2,5.2,EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,perforated ,,,,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-40,1,ea.,,Boneless Breast Grading Conveyor,,breast,,,,"1/4"" SS","18""","42""","2""",0,"10'-0""",25 ft,S800 PFFT,Acetal,White,N/A,N/A,N/A,60,Y,5.2,5.2,EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,,,perforated ,,,,,,,,,,,[38.872],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-41,1,ea.,,Boneless Breast Incline Conveyor,,breast,,,,"1/4"" SS","12""","18"" / 122""","6""",60,"10'-2"" (h)",34 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",75.6,Y,"5.2""","5.2""",EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"[14'-6""]",,,,,scoop,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-42,1,ea.,,Boneless Breast Incline Conveyor,,breast,,,,"1/4"" SS","12""","24"" / 144""","6""",85,"18'-7"" (h)",57 ft,S800 OHFT,Acetal,White,"4""","12""","1.3""",75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"26'-0""",,,,,scoop,,,,,,,,[31.539],K343,1HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-43,1,ea.,,Carcass Incline Conveyor,,carcass,,,,"1/4"" SS","18""","18' / 144""","6""",70,"34'-2"" (h)",85 ft,S800 OHFT,Acetal,White,"6""","12""","1.3""",76.7,Y,"6.5""","6.5""",EZ Clean,40:1,Sterling ,Sterling,,,,,,
,,,,,,,,,,,,,,,,"38'-9""",,,,,scoop,,,,,,,,[38.872],K343,2 HP,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C-44,1,ea.,,OH Boneless Breast to Combo Conveyor,,breast,,,,"1/4"" SS","12""","108"" / 156""","4""",35,"39'-0"" 9h)",86 ft,S800 OHFT,Acetal,White,"3""","12""","1.3""",75.6,Y,5.2,5.2,EZ Clean,32:1,Sterling ,Sterling,Common ,,,,,
,,,,,,,,,,,,,,,,"[40'-3""]",,,,,streamline,,,,,,,,[31.539],K343,1HP,Frame w/ C45,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
